pt,en
batalha,battle
colina,hill
campo,field / battlefield
castela,Castile
rei,king
condestável,constable (military)
lança,lance / spear
escudo,shield
arco,bow (weapon)
flecha,arrow
capacete,helmet
armadura,armor
cavalo,horse
cavaleiro,knight
infantaria,infantry
trincheira,trench
estaca,stake / pike
calor,heat
sede,thirst
cântaro,clay jug
aldeia,village
aldeão,villager
vitória,victory
derrota,defeat
independência,independence
invasão,invasion
defesa,defense
ataque,attack
linha,line (battle line)
frente,front
retaguarda,rear guard
ordem,order / command
comando,command
disciplina,discipline
ceder,to give way
voltar,to return
levantar,to raise / stand up
proteger,to protect
livres,free (plural)
trono,throne
dinastia,dynasty
avis,Avis (dynasty)
agosto,August
verão,summer
amanhecer,dawn
barulho,noise
fumo,smoke / dust haze
terra,earth / land
carvalho,oak
carrinho,cart
roda,wheel
correia,leather strap
couraça,breastplate
estandarte,standard / banner
trombeta,trumpet / horn
aliança,alliance
inimigo,enemy
aliado,ally
estratégia,strategy
posição,position
vantagem,advantage
número,number / count
menor,smaller / fewer
maior,greater / larger
firme,steady / firm
firmes,steady (plural)
orgulho,pride
honra,honor
juramento,oath
lealdade,loyalty
destino,destiny / fate
lenda,legend
herói,hero
nação,nation
fronteira,border
reino,kingdom
castelo,castle
muralha,wall / rampart
torre,tower
ponte,bridge
caminho,path / road
colina seca,dry hill
nuno,Nuno (name)
joão,João (name)
ines,Inês (name)
tiago,Tiago (name)
julho,July
século,century
época,era / age
cronista,chronicler
crónica,chronicle
mapa,map
região,region
centro,center
oeste,west
este,east
norte,north
sul,south
seca,drought / dry spell
sedeento,thirsty
