pt,en
1986,1986
cee,EEC
comunidade-europeia,European Community
adesão,accession
primeiro-de-janeiro,1 January
referendo,referendum
voto-sim,yes vote
bandeira-europeia,European flag
doze-estrelas,twelve stars
azul-europeu,European blue
hino-europeu,European anthem
europa,Europe
integração,integration
fronteira-aberta,open border (concept)
passaporte-europeu,European passport (future)
erasmus,Erasmus
universidade,university
brochura,brochure
estudar-fora,study abroad
ana,Ana
pedro,Pedro
pai-de-fábrica,factory-worker father
operário,worker
fábrica-moderna,modern factory
ano-novo,New Year
celebração-cívica,civic celebration
manifestação-pacífica,peaceful gathering
bandeira-no-peito,flag on chest
jornal-de-adesão,accession newspaper
manchete,headline
televisão,television
ecrã-público,public screen
noticiário,news broadcast
apresentador,presenter
multidão-esperançosa,hopeful crowd
futuro-europeu,European future
identidade-portuguesa,Portuguese identity
identidade-europeia,European identity
vizinho-europeu,European neighbour
mercado-comum,common market
subsídio,subsidy
fundo-estrutural,structural fund
modernização,modernisation
democracia-jovem,young democracy
pós-25-abril,post-25 April
crescimento-económico,economic growth
investimento,investment
estrada-nova,new road
ponte-nova,new bridge
aeroporto,airport
viagem-facilitada,easier travel
moeda-futura,future currency
escudo-para-euro,escudo to euro (path)
café-da-tarde,afternoon café
orgulho-familiar,family pride
coracao-apertado,tight heart
coracao-aberto,open heart
debate-público,public debate
opinião-dividida,divided opinion
maioria-sim,yes majority
voto-consciente,informed vote
cidadão-europeu,European citizen
passo-para-frente,step forward
janela-aberta-europa,window open to Europe
tagus-à-noite,Tagus at night
orla-marítima,waterfront
bandeira-dupla,double flag
portugal-e-europa,Portugal and Europe
membro-fundador,founding member (wave)
entrada-oficial,official entry
discurso-de-adesão,accession speech
primeiro-dia,first day
manhã-de-janeiro,January morning
lisboa-festiva,festive Lisbon
rua-decorada,decorated street
balão,balloon
confete,confetti
sorriso-colectivo,collective smile
esperança-moderna,modern hope
geração-europeia,European generation
estudante-universitária,university student
pai-orgulhoso,proud father
levar-portugal,carry Portugal (abroad)
mais-vizinhos,more neighbours
continente-novo,new continent (for us)
bússola-europeia,European compass
1986-lisboa,1986 Lisbon
adesão-completa,full accession
referendo-1986,1986 referendum
sim-para-europa,yes to Europe
ana-e-pedro,Ana and Pedro
gaivota-no-varandim,Gaivota on balcony
fim-de-fronteiras,end of old borders (concept)
capítulo-novo,new chapter
portugal-moderno,modern Portugal
europa-aberta,open Europe
janela-para-o-mundo,window to the world
tratado-de-adesão,accession treaty
membro-da-cee,EEC member
festa-de-rua,street party
